    Mat, Size, Cbef, Caft, Cdiag, Reduce,-log(1-Reduce), Time,Better,
mesh2e1,306,8.431E+04,1.934E+04,2.331E+04,0.770582,0.639373,1.767308,1.205E+00,
mesh2em5,306,6.085E+04,2.221E+04,2.448E+04,0.635019,0.437730,2.033301,1.102E+00,
mesh3e1,289,7.97E+01,7.367E+01,7.371E+01,0.075652,0.034164,0.948502,1.001E+00,
mesh3em5,289,2.466E+01,2.383E+01,2.384E+01,0.033547,0.014819,0.649657,1.000E+00,
sphere2,66,4.729E+07,2.1E+07,4.81E+07,0.555919,0.352538,0.143261,2.29047619047619E+00,
sphere3,258,2.431E+07,2.246E+07,2.439E+07,0.075870,0.034267,0.741558,1.086E+00,
cage3,5,3.552E+02,2.324E+02,2.826E+02,0.345737,0.184248,0.090801,1.216E+00,
cage4,9,3.749E+02,2.332E+02,2.662E+02,0.378129,0.206300,0.092323,1.142E+00,
cage5,37,2.377E+02,1.446E+02,1.623E+02,0.391509,0.215746,0.142229,1.122E+00,
cage6,93,1.305E+02,5.598E+01,6.216E+01,0.571133,0.367677,0.275322,1.110E+00,
cage7,340,1.709E+02,7.342E+01,9.425E+01,0.570302,0.366837,2.882972,1.284E+00,
problem1,415,4.188E+07,2.802E+07,3.407E+07,0.330968,0.174553,1.394374,1.216E+00,
oscil_trans_01,430,5.827E+07,5.562E+07,7.219E+07,0.045355,0.020158,0.800879,1.298E+00,
Harvard500,500,1.83E+07,1.673E+07,9.449E+07,0.085593,0.038860,3.517279,5.648E+00,
lap_25,25,2.786E+07,2.436E+07,2.985E+07,0.125389,0.058185,0.108474,1.225E+00,
rajat05,301,1.466E+07,1.316E+06,5.248E+06,0.910252,1.046975,0.894197,3.988E+00,
rajat11,135,7.5E+07,9.077E+05,3.267E+06,0.987897,1.917107,0.284779,3.599E+00,
rajat14,180,5.543E+07,1.563E+06,7.485E+06,0.971808,1.549874,1.454099,4.789E+00,
Hamrle1,32,4.796E+07,3.333E+05,5.875E+05,0.993051,2.158078,0.134966,1.763E+00,
    robot,120,4.407E+07,1.02E+04,1.204E+04,0.999769,3.636388,0.335016,1.18039215686275E+00,
rotor1,100,3.726E+07,1.869E+06,2.374E+06,0.949828,1.299539,0.305103,1.270E+00,
LF10,18,5.17E+07,4.958E+04,6.238E+04,0.999041,3.018181,0.135056,1.258E+00,
    Cities,46,4.291E+04,1.275E+04,1.996E+04,0.702834,0.527001,0.121651,1.565E+00,
    divorce,9,3.76E+02,1.794E+02,4.251E+02,0.522869,0.321362,0.093020,2.370E+00,
  ,,,,,,,,,
